product_name,vendor_id,store,country,downloads
"Google Docs: Sync, Edit, Share",842842640,apple,IL,166182
"Microsoft Word",586447913,apple,IL,129372
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,IL,586410
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,IN,15551974
"Google Docs: Sync, Edit, Share",842842640,apple,IN,380351
"Microsoft Word",586447913,apple,IN,460386
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,IN,23965081
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,IS,3727
"Google Docs: Sync, Edit, Share",842842640,apple,IS,8005
"Microsoft Word",586447913,apple,IS,4339
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,IS,131
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,IT,3354731
"Google Docs: Sync, Edit, Share",842842640,apple,IT,624579
"Microsoft Word",586447913,apple,IT,478836
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,IT,3438451
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,JM,117469
"Google Docs: Sync, Edit, Share",842842640,apple,JM,23650
"Microsoft Word",586447913,apple,JM,24399
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,JM,72994
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,JO,288
"Google Docs: Sync, Edit, Share",842842640,apple,JO,6760
"Microsoft Word",586447913,apple,JO,45124
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,JO,124033
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,JP,1143889
"Google Docs: Sync, Edit, Share",842842640,apple,JP,1023621
"Microsoft Word",586447913,apple,JP,1320546
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,JP,799140
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,KG,1375
"Google Docs: Sync, Edit, Share",842842640,apple,KG,8072
"Microsoft Word",586447913,apple,KG,22285
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,KG,72857
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,KH,98272
"Google Docs: Sync, Edit, Share",842842640,apple,KH,46074
"Microsoft Word",586447913,apple,KH,43016
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,KH,8809
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,KR,2277203
"Google Docs: Sync, Edit, Share",842842640,apple,KR,286333
"Microsoft Word",586447913,apple,KR,116638
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,KR,460148
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,KW,2592
"Google Docs: Sync, Edit, Share",842842640,apple,KW,3522
"Microsoft Word",586447913,apple,KW,52465
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,KW,14115
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,KZ,68427
"Google Docs: Sync, Edit, Share",842842640,apple,KZ,78363
"Microsoft Word",586447913,apple,KZ,226111
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,KZ,411194
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,LA,8440
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,LA,10522
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,LB,4546
"Google Docs: Sync, Edit, Share",842842640,apple,LB,15218
"Microsoft Word",586447913,apple,LB,28199
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,LB,59788
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,LK,103843
"Google Docs: Sync, Edit, Share",842842640,apple,LK,14066
"Microsoft Word",586447913,apple,LK,27260
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,LK,208019
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,LT,20840
"Google Docs: Sync, Edit, Share",842842640,apple,LT,19495
"Microsoft Word",586447913,apple,LT,21077
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,LT,6458
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,LU,2881
"Google Docs: Sync, Edit, Share",842842640,apple,LU,4251
"Microsoft Word",586447913,apple,LU,11147
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,LU,3949
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,LV,18728
"Google Docs: Sync, Edit, Share",842842640,apple,LV,17861
"Microsoft Word",586447913,apple,LV,17049
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,LV,12695
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,MD,25670
"Google Docs: Sync, Edit, Share",842842640,apple,MD,9136
"Microsoft Word",586447913,apple,MD,16593
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,MD,40900
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,MK,257
"Google Docs: Sync, Edit, Share",842842640,apple,MK,3333
"Microsoft Word",586447913,apple,MK,11699
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,MK,14060
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,MT,3507
"Google Docs: Sync, Edit, Share",842842640,apple,MT,2899
"Microsoft Word",586447913,apple,MT,4599
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,MT,4162
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,MX,6262084
"Google Docs: Sync, Edit, Share",842842640,apple,MX,554713
"Microsoft Word",586447913,apple,MX,831183
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,MX,6155922
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,MY,1621055
"Google Docs: Sync, Edit, Share",842842640,apple,MY,209576
"Microsoft Word",586447913,apple,MY,229666
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,MY,1666901
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,NL,1159652
"Google Docs: Sync, Edit, Share",842842640,apple,NL,200846
"Microsoft Word",586447913,apple,NL,244363
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,NL,1143374
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,NO,138473
"Google Docs: Sync, Edit, Share",842842640,apple,NO,82623
"Microsoft Word",586447913,apple,NO,96757
